"TravelMonth","Op Airline Code","Origin Code","Destination Code","Flights","Seats","Seats/ Dep","Block Mins","Average KMs"
"Mar2013","OX","CNX","DMK","62","9300","150.0","4650","565.0"
"Mar2013","OX","DMK","CNX","62","9300","150.0","4030","565.0"
"Mar2013","OX","DMK","HKT","62","9300","150.0","4805","689.0"
"Mar2013","OX","HKT","DMK","62","9300","150.0","4960","689.0"
"Mar2013","PG","BKK","CNX","185.0","28674.0","154.9945945945946","13875.0","565.0"
"Mar2013","PG","BKK","USM","608.0","69052.0","113.57236842105263","45615.0","465.0"
"Mar2013","PG","BKK","LPT","62","4340","70.0","5580","497.0"
"Mar2013","PG","BKK","HKT","217","35154","162.0","18445","673.0"
"Mar2013","PG","BKK","THS","62","4340","70.0","4650","377.0"
"Mar2013","PG","BKK","TDX","93","6510","70.0","5580","233.0"
